alcohol_diff,chlorides_diff,citric acid_diff,density_diff,fixed acidity_diff,free sulfur dioxide_diff,pH_diff,residual sugar_diff,sulphates_diff,total sulfur dioxide_diff,volatile acidity_diff,Target
-2.200000000000001,0.0029999999999999957,0.020000000000000018,0.008160000000000056,1.6000000000000005,4.0,-0.2599999999999998,13.5,0.020000000000000018,92.0,-0.07,0
-0.40000000000000036,-0.006999999999999999,0.010000000000000009,0.0022600000000000398,0.5,-27.0,-0.08999999999999986,4.7,-0.07,-4.0,0.08999999999999997,1
1.8000000000000007,-0.009999999999999995,-0.010000000000000009,-0.005900000000000016,-1.1000000000000005,-31.0,0.16999999999999993,-8.8,-0.09000000000000002,-96.0,0.15999999999999998,1
-2.4000000000000004,0.025,0.07,0.007160000000000055,1.6000000000000005,18.0,-0.3500000000000001,12.2,0.0,77.0,-0.010000000000000009,0
-0.1999999999999993,0.022000000000000006,0.04999999999999999,-0.0010000000000000009,0.0,14.0,-0.0900000000000003,-1.3000000000000007,-0.020000000000000018,-15.0,0.06,1
-2.0,0.032,0.06,0.0049000000000000155,1.1000000000000005,45.0,-0.26000000000000023,7.499999999999999,0.07,81.0,-0.09999999999999998,0
-0.9000000000000004,-0.012000000000000004,0.010000000000000009,0.0014800000000000368,1.7000000000000002,-8.0,-0.31000000000000005,0.19999999999999996,0.20000000000000007,-21.0,-0.03,0
1.3000000000000007,-0.015,-0.010000000000000009,-0.006680000000000019,0.09999999999999964,-12.0,-0.050000000000000266,-13.3,0.18000000000000005,-113.0,0.04000000000000001,0
-0.5,-0.0050000000000000044,0.0,-0.0007800000000000029,1.2000000000000002,19.0,-0.2200000000000002,-4.5,0.2700000000000001,-17.0,-0.11999999999999997,0
1.5,-0.037000000000000005,-0.06,-0.005680000000000018,0.09999999999999964,-26.0,0.040000000000000036,-12.0,0.20000000000000007,-98.0,-0.01999999999999999,0
-0.20000000000000107,-0.0030000000000000027,0.040000000000000036,0.000680000000000125,1.2999999999999998,-1.0,-0.25,0.19999999999999996,0.27,-4.0,-0.05000000000000002,0
2.0,-0.005999999999999998,0.020000000000000018,-0.007479999999999931,-0.3000000000000007,-5.0,0.009999999999999787,-13.3,0.25,-96.0,0.01999999999999999,1
0.1999999999999993,0.003999999999999997,0.030000000000000027,-0.0015799999999999148,0.7999999999999998,26.0,-0.16000000000000014,-4.5,0.34,0.0,-0.13999999999999999,0
2.1999999999999993,-0.028000000000000004,-0.02999999999999997,-0.00647999999999993,-0.3000000000000007,-19.0,0.10000000000000009,-12.0,0.27,-81.0,-0.04000000000000001,1
0.6999999999999993,0.009000000000000001,0.030000000000000027,-0.0007999999999999119,-0.40000000000000036,7.0,0.06000000000000005,0.0,0.06999999999999995,17.0,-0.020000000000000018,1
0.0,-0.0020000000000000018,-0.08999999999999997,0.0006099999999999994,0.10000000000000053,-9.0,-0.10999999999999988,0.6000000000000001,-0.02999999999999997,13.0,-0.12,0
2.200000000000001,-0.0049999999999999975,-0.10999999999999999,-0.007550000000000057,-1.5,-13.0,0.1499999999999999,-12.9,-0.04999999999999999,-79.0,-0.04999999999999999,1
0.40000000000000036,0.0049999999999999975,-0.09999999999999998,-0.0016500000000000403,-0.39999999999999947,18.0,-0.020000000000000018,-4.1,0.040000000000000036,17.0,-0.20999999999999996,0
2.4000000000000004,-0.027000000000000003,-0.15999999999999998,-0.006550000000000056,-1.5,-27.0,0.2400000000000002,-11.6,-0.02999999999999997,-64.0,-0.10999999999999999,1
0.9000000000000004,0.010000000000000002,-0.09999999999999998,-0.0008700000000000374,-1.5999999999999996,-1.0,0.20000000000000018,0.40000000000000013,-0.23000000000000004,34.0,-0.09,1
0.20000000000000107,0.0010000000000000009,-0.13,-7.000000000012552e-05,-1.1999999999999993,-8.0,0.14000000000000012,0.40000000000000013,-0.3,17.0,-0.06999999999999998,1
1.0999999999999996,-0.006999999999999999,-0.019999999999999962,0.00013999999999991797,1.1000000000000005,-18.0,-0.23999999999999977,3.7,-0.12,-21.0,0.19,1
3.3000000000000007,-0.009999999999999995,-0.03999999999999998,-0.008020000000000138,-0.5,-22.0,0.020000000000000018,-9.8,-0.14,-113.0,0.26,1
1.5,0.0,-0.02999999999999997,-0.002120000000000122,0.6000000000000005,9.0,-0.1499999999999999,-1.0,-0.04999999999999999,-17.0,0.10000000000000003,1
3.5,-0.032,-0.08999999999999997,-0.007020000000000137,-0.5,-36.0,0.11000000000000032,-8.5,-0.12,-98.0,0.2,1
2.0,0.0050000000000000044,-0.02999999999999997,-0.0013400000000001189,-0.5999999999999996,-10.0,0.07000000000000028,3.5,-0.32000000000000006,0.0,0.22,1
1.3000000000000007,-0.003999999999999997,-0.06,-0.000540000000000207,-0.1999999999999993,-17.0,0.010000000000000231,3.5,-0.39,-17.0,0.24000000000000002,1
1.0999999999999996,-0.0049999999999999975,0.07,-0.00047000000000008146,1.0,-9.0,-0.1299999999999999,3.1,-0.09000000000000002,-34.0,0.31,1
-2.0999999999999996,0.018999999999999996,-0.019999999999999962,0.007280000000000064,1.4000000000000004,11.0,-0.36999999999999966,10.2,0.10999999999999999,48.0,-0.07,0
0.10000000000000142,0.016,-0.03999999999999998,-0.0008799999999999919,-0.20000000000000018,7.0,-0.10999999999999988,-3.3000000000000007,0.08999999999999997,-44.0,0.0,1
-1.6999999999999993,0.025999999999999995,-0.02999999999999997,0.0050200000000000244,0.9000000000000004,38.0,-0.2799999999999998,5.499999999999999,0.18,52.0,-0.15999999999999998,0
0.3000000000000007,-0.006000000000000005,-0.08999999999999997,0.00012000000000000899,-0.20000000000000018,-7.0,-0.019999999999999574,-2.0,0.10999999999999999,-29.0,-0.06,1
-1.1999999999999993,0.031,-0.02999999999999997,0.005800000000000027,-0.2999999999999998,19.0,-0.05999999999999961,10.0,-0.09000000000000008,69.0,-0.04000000000000001,1
-1.8999999999999986,0.022,-0.06,0.006599999999999939,0.10000000000000053,12.0,-0.11999999999999966,10.0,-0.16000000000000003,52.0,-0.01999999999999999,1
-2.0999999999999996,0.020999999999999998,0.07,0.006670000000000065,1.2999999999999998,20.0,-0.2599999999999998,9.6,0.13999999999999996,35.0,0.04999999999999999,1
-3.1999999999999993,0.025999999999999995,0.0,0.007140000000000146,0.2999999999999998,29.0,-0.1299999999999999,6.499999999999999,0.22999999999999998,69.0,-0.26,0
0.7999999999999989,0.020999999999999998,0.2,0.0006599999999999939,0.5,0.0,0.020000000000000018,0.19999999999999996,-0.06,-9.0,0.010000000000000009,0
3.0,0.018000000000000002,0.18,-0.007500000000000062,-1.1000000000000005,-4.0,0.2799999999999998,-13.3,-0.08000000000000002,-101.0,0.08000000000000002,1
1.1999999999999993,0.027999999999999997,0.19,-0.0016000000000000458,0.0,27.0,0.10999999999999988,-4.5,0.010000000000000009,-5.0,-0.07999999999999996,0
3.1999999999999993,-0.0040000000000000036,0.13,-0.006500000000000061,-1.1000000000000005,-18.0,0.3700000000000001,-12.0,-0.06,-86.0,0.020000000000000018,1
1.6999999999999993,0.033,0.19,-0.0008200000000000429,-1.2000000000000002,8.0,0.33000000000000007,0.0,-0.26000000000000006,12.0,0.04000000000000001,1
1.0,0.024,0.15999999999999998,-2.0000000000131024e-05,-0.7999999999999998,1.0,0.27,0.0,-0.33,-5.0,0.060000000000000026,1
0.7999999999999989,0.023,0.29,4.999999999999449e-05,0.39999999999999947,9.0,0.1299999999999999,-0.40000000000000013,-0.030000000000000027,-22.0,0.13,1
-0.3000000000000007,0.027999999999999997,0.21999999999999997,0.000520000000000076,-0.6000000000000005,18.0,0.2599999999999998,-3.5,0.06,12.0,-0.18,0
2.8999999999999986,0.0020000000000000018,0.21999999999999997,-0.00662000000000007,-0.9000000000000004,-11.0,0.3899999999999997,-10.0,-0.16999999999999998,-57.0,0.08000000000000002,1
-0.9000000000000004,0.010000000000000002,0.0,0.0024600000000000177,0.6000000000000005,-1.0,0.1200000000000001,0.6000000000000001,0.08000000000000007,26.0,0.020000000000000018,1
1.3000000000000007,0.007000000000000006,-0.020000000000000018,-0.005700000000000038,-1.0,-5.0,0.3799999999999999,-12.9,0.06000000000000005,-66.0,0.09000000000000002,1
-0.5,0.017,-0.010000000000000009,0.00019999999999997797,0.10000000000000053,26.0,0.20999999999999996,-4.1,0.15000000000000008,30.0,-0.06999999999999995,1
1.5,-0.015,-0.07,-0.0047000000000000375,-1.0,-19.0,0.4700000000000002,-11.6,0.08000000000000007,-51.0,0.030000000000000027,1
0.0,0.022000000000000006,-0.010000000000000009,0.0009799999999999809,-1.0999999999999996,7.0,0.43000000000000016,0.40000000000000013,-0.12,47.0,0.05000000000000002,1
-0.6999999999999993,0.013000000000000005,-0.040000000000000036,0.0017799999999998928,-0.6999999999999993,0.0,0.3700000000000001,0.40000000000000013,-0.18999999999999995,30.0,0.07000000000000003,1
-0.9000000000000004,0.012000000000000004,0.08999999999999997,0.0018500000000000183,0.5,8.0,0.22999999999999998,0.0,0.11000000000000004,13.0,0.14,1
